sample_name	accession
2025LY00031R	SRR33240013
2025LY00033	SRR33240012
2025LY00034	SRR33240001
2025LY00035	SRR33239997
2025LY00036	SRR33239996
2025LY00037	SRR33239995
2025LY00038	SRR33239994
2025LY00039	SRR33239993
2025LY00040	SRR33239992
2025LY00041	SRR33239991
2025LY00042	SRR33240011
2025LY00043	SRR33240010
2025LY00044	SRR33240009
2025LY00045	SRR33240008
2025LY00046	SRR33240007
2025LY00047	SRR33240006
2025LY00048	SRR33240005
2025LY00049	SRR33240004
2025LY00050	SRR33240003
2025LY00051	SRR33240002
2025LY00052R	SRR33138450
2025LY00053	SRR33240000
2025LY00054	SRR33239999
2025LY00055	SRR33239998
