sample,fastq_1,fastq_2
2025LY00031R,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00031R_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00031R_2.fastq.gz
2025LY00033,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00033_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00033_2.fastq.gz
2025LY00034,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00034_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00034_2.fastq.gz
2025LY00035,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00035_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00035_2.fastq.gz
2025LY00036,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00036_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00036_2.fastq.gz
2025LY00037,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00037_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00037_2.fastq.gz
2025LY00038,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00038_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00038_2.fastq.gz
2025LY00039,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00039_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00039_2.fastq.gz
2025LY00040,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00040_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00040_2.fastq.gz
2025LY00041,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00041_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00041_2.fastq.gz
2025LY00042,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00042_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00042_2.fastq.gz
2025LY00043,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00043_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00043_2.fastq.gz
2025LY00044,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00044_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00044_2.fastq.gz
2025LY00045,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00045_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00045_2.fastq.gz
2025LY00046,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00046_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00046_2.fastq.gz
2025LY00047,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00047_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00047_2.fastq.gz
2025LY00048,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00048_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00048_2.fastq.gz
2025LY00049,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00049_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00049_2.fastq.gz
2025LY00050,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00050_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00050_2.fastq.gz
2025LY00051,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00051_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00051_2.fastq.gz
2025LY00052R,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00052R_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00052R_2.fastq.gz
2025LY00053,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00053_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00053_2.fastq.gz
2025LY00054,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00054_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00054_2.fastq.gz
2025LY00055,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00055_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00055_2.fastq.gz
