sample,taxa,assembly,fastq_1,fastq_2
2025LY00031R,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00031R/assembly/2025LY00031R.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00031R_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00031R_2.fastq.gz
2025LY00033,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00033/assembly/2025LY00033.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00033_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00033_2.fastq.gz
2025LY00034,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00034/assembly/2025LY00034.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00034_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00034_2.fastq.gz
2025LY00035,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00035/assembly/2025LY00035.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00035_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00035_2.fastq.gz
2025LY00036,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00036/assembly/2025LY00036.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00036_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00036_2.fastq.gz
2025LY00037,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00037/assembly/2025LY00037.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00037_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00037_2.fastq.gz
2025LY00038,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00038/assembly/2025LY00038.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00038_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00038_2.fastq.gz
2025LY00039,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00039/assembly/2025LY00039.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00039_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00039_2.fastq.gz
2025LY00040,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00040/assembly/2025LY00040.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00040_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00040_2.fastq.gz
2025LY00041,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00041/assembly/2025LY00041.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00041_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00041_2.fastq.gz
2025LY00042,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00042/assembly/2025LY00042.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00042_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00042_2.fastq.gz
2025LY00043,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00043/assembly/2025LY00043.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00043_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00043_2.fastq.gz
2025LY00044,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00044/assembly/2025LY00044.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00044_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00044_2.fastq.gz
2025LY00045,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00045/assembly/2025LY00045.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00045_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00045_2.fastq.gz
2025LY00046,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00046/assembly/2025LY00046.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00046_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00046_2.fastq.gz
2025LY00047,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00047/assembly/2025LY00047.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00047_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00047_2.fastq.gz
2025LY00048,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00048/assembly/2025LY00048.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00048_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00048_2.fastq.gz
2025LY00049,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00049/assembly/2025LY00049.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00049_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00049_2.fastq.gz
2025LY00050,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00050/assembly/2025LY00050.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00050_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00050_2.fastq.gz
2025LY00051,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00051/assembly/2025LY00051.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00051_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00051_2.fastq.gz
2025LY00052R,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00052R/assembly/2025LY00052R.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00052R_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00052R_2.fastq.gz
2025LY00053,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00053/assembly/2025LY00053.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00053_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00053_2.fastq.gz
2025LY00054,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00054/assembly/2025LY00054.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00054_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00054_2.fastq.gz
2025LY00055,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix/output/2025LY00055/assembly/2025LY00055.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00055_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/fastqs/2025LY00055_2.fastq.gz
