sample_name	accession
2025LY-00187	SRR36255135
2025LY-00188	SRR36255124
2025LY-00194	SRR36255106
2025LY-00204	SRR36255126
2025LY-00205	SRR36255125
2025LY-00206	SRR36788088
2025LY-00212	SRR36255118
2025LY00093	SRR33984279
2025LY00106	SRR34157520
2025LY00107	SRR34157519
2025LY00108	SRR34157518
2025LY00109	SRR34157517
2025LY00111	SRR34323655
2025LY-00121	SRR34559556
2025LY-00129	SRR34657797
2025LY-00122	SRR34559555
2025LY00094	SRR33893821
2026LY-00018	SRR37210572
2026LY-00023	SRR37210564
2026LY-00034	SRR37211280
2026LY-00036	SRR37211273
2026LY-00070	SRR37398810
2026LY-00082	SRR37398817
2026LY-00129	SRR37468327
2026LY-00130	SRR37468326
2026LY-00019	SRR37210571
2026LY-00069	SRR37398811
2024LY00067	SRR30224866
2025LY-00117	SRR34547107
2024LY00046	SRR29437671
2024LY00054	SRR29517191
2024LY00066	SRR30224867
2026LY-00047	SRR37211287
2025LY-00225	SRR37114319
2026LY-00127	SRR37468329
