sample,taxa,assembly,fastq_1,fastq_2
2025LY00093,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00093/assembly/2025LY00093.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00093_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00093_2.fastq.gz
2025LY00094,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00094/assembly/2025LY00094.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00094_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00094_2.fastq.gz
2025LY00106,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00106/assembly/2025LY00106.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00106_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00106_2.fastq.gz
2025LY00107,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00107/assembly/2025LY00107.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00107_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00107_2.fastq.gz
2025LY00108,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00108/assembly/2025LY00108.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00108_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00108_2.fastq.gz
2025LY00109,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00109/assembly/2025LY00109.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00109_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00109_2.fastq.gz
2025LY00111,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY00111/assembly/2025LY00111.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00111_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY00111_2.fastq.gz
2025LY-00121,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY-00121/assembly/2025LY-00121.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY-00121_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY-00121_2.fastq.gz
2025LY-00122,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY-00122/assembly/2025LY-00122.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY-00122_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY-00122_2.fastq.gz
2025LY-00129,Acinetobacter_baumannii,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/phoenix/output/2025LY-00129/assembly/2025LY-00129.filtered.scaffolds.fa.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY-00129_1.fastq.gz,/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/ADD-ISOLATES/fastqs/2025LY-00129_2.fastq.gz
