WGS_ID	PHX_Version	Auto_QC_Outcome	Warning_Count	Estimated_Coverage	Genome_Length	Assembly_Ratio_(STDev)	#_of_Scaffolds_>500bp	GC_%	Final_Taxa_ID	Taxa_Source	FastANI_Organism	FastANI_%ID	FastANI_%Coverage	ShigaPass_Organism	Kraken2_Trimd	Kraken2_Weighted	MLST_Scheme_1	MLST_1	MLST_Scheme_2	MLST_2	GAMMA_Beta_Lactam_Resistance_Genes	GAMMA_Other_AR_Genes	AMRFinder_Point_Mutations	Hypervirulence_Genes	Plasmid_Incompatibility_Replicons	Auto_QC_Failure_Reason
2025LY00031R	2.3.2	PASS	0	87.66	4031531	1.0116 (0.1817)	69	38.91	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.9	96.56		Acinetobacter(96.43%) baumannii(34.16%)	Acinetobacter(99.97%) baumannii(99.68%)	abaumannii(Oxford)	ST345,ST1857-PARALOG	abaumannii(Pasteur)	ST2139	Zn-dependent_hydrolase_NC_010410,blaADC-222_NG_067193.1,blaOXA-24_NG_049534.1_blaOXA-24-like,blaOXA-95_NG_049836.1_blaOXA-51-like	abaF_CP000521.1,amvA_FJ911554.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,strA_AB366441,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L			
2025LY00033	2.3.2	PASS	0	67.74	3924804	0.9848 (0.2376)	62	39.00	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.86	95.62		Acinetobacter(95.84%) baumannii(8.2%)	Acinetobacter(99.8%) baumannii(99.08%)	abaumannii(Oxford)	Novel_profile	abaumannii(Pasteur)	Novel_profile	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(6')-Ib-AKT_NG_056043.1,aadA1_3_JQ414041,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,catB8_NG_047616.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,tet(B)_NG_048161.1	gyrA_S81L			
2025LY00034	2.3.2	PASS	1	57.13	4047801	1.0157 (0.2456)	83	38.99	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.95	94.79		Acinetobacter(95.52%) baumannii(7.98%)	Acinetobacter(99.56%) baumannii(98.81%)	abaumannii(Oxford)	ST1962-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-25_NG_048649.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-834_NG_065444.1_blaOXA-51-like	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	gyrA_S81L			
2025LY00035	2.3.2	PASS	0	61.08	4037951	1.0132 (0.2069)	90	39.05	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.97	95.94		Acinetobacter(96.42%) baumannii(10.42%)	Acinetobacter(99.95%) baumannii(98.88%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(3)-Ia_NG_047234.1,aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,qacEdelta1_NG_048042.1,strA_AB366441,sul1_NG_048082.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L			
2025LY00036	2.3.2	PASS	2	51.47	3973778	0.9971 (0.0452)	72	39.06	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.95	95.58		Acinetobacter(94.57%) baumannii(8.44%)	Acinetobacter(99.56%) baumannii(98.8%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-398_NG_049687.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	ftsI_A515V,parC_S84L,gyrA_S81L			
2025LY00037	2.3.2	PASS	0	62.45	3967007	0.9954 (0.0718)	76	39.05	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.98	96.97		Acinetobacter(94.52%) baumannii(8.58%)	Acinetobacter(99.49%) baumannii(98.06%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00038	2.3.2	PASS	1	59.13	3920989	0.9839 (0.2526)	71	39.05	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.98	96.94		Acinetobacter(94.86%) baumannii(8.12%)	Acinetobacter(99.49%) baumannii(97.93%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00039	2.3.2	PASS	0	96.99	3951064	0.9914 (0.1345)	94	39.10	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.93	96.7		Acinetobacter(94.95%) baumannii(7.87%)	Acinetobacter(99.56%) baumannii(97.49%)	abaumannii(Oxford)	ST1962-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-25_NG_048649.1,blaOXA-225_NG_049521.1_blaOXA-23-like,blaOXA-834_NG_065444.1_blaOXA-51-like	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	gyrA_S81L			
2025LY00040	2.3.2	PASS	2	50.07	3927781	0.9856 (0.2259)	79	39.06	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.97	97.1		Acinetobacter(94.8%) baumannii(7.82%)	Acinetobacter(99.49%) baumannii(98.1%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00041	2.3.2	PASS	0	67.31	3984269	0.9997 (0.004)	96	39.05	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.94	96.96		Acinetobacter(94.61%) baumannii(7.84%)	Acinetobacter(99.36%) baumannii(97.33%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
