WGS_ID	Parent_Folder	Data_Location	PHX_Version	Minimum_QC_Check	Minimum_QC_Issues	Warnings	Alerts	Raw_Q30_R1_[%]	Raw_Q30_R2_[%]	Total_Raw_[reads]	Paired_Trimmed_[reads]	Total_Trimmed_[reads]	Estimated_Trimmed_Coverage	GC[%]	Scaffolds	Assembly_Length	Assembly_Ratio	Assembly_StDev	Final_Taxa_ID	Taxa_Source	Kraken_ID_Trimmed_Reads_%	Kraken_ID_WtAssembly_%	FastANI_Organism	FastANI_%ID	FastANI_%Coverage	Species_Support_ANI	Primary_MLST_Scheme	Primary_MLST_Source	Primary_MLST	Primary_MLST_Alleles	Secondary_MLST_Scheme	Secondary_MLST_Source	Secondary_MLST	Secondary_MLST_Alleles	AR_Database	Mbl_NC_010410_(beta-lactam)	No_AR_Genes_Found	Zn-dependent_hydrolase_NC_010410_(beta-lactam)	aac(3)-Ia_NG_047234.1_(aminoglycoside)	aac(6')-Ian_NG_047282.1_(aminoglycoside)	aac(6')-Ib-AKT_NG_056043.1_(aminoglycoside)	aadA1_3_JQ414041_(aminoglycoside)	abaF_CP000521.1_(fosfomycin)	adeC_AF370885.1_(efflux)	amvA_FJ911554.1_(efflux)	ant(2'')-Ia_NG_047387.1_(aminoglycoside)	ant(3'')-IIa_NG_054646.1_(aminoglycoside)	aph(6)-Id_NG_047464.1_(aminoglycoside)	armA_NG_047476.1_(aminoglycoside)	blaADC-222_NG_067193.1_(beta-lactam)	blaADC-25_NG_048649.1_(beta-lactam)	blaADC-30_NG_048652.1_(beta-lactam)	blaADC-73_NG_048678.1_(beta-lactam)	blaOXA-225_NG_049521.1_blaOXA-23-like_(beta-lactam)	blaOXA-23_NG_049525.1_blaOXA-23-like_(beta-lactam)	blaOXA-24_NG_049534.1_blaOXA-24-like_(beta-lactam)	blaOXA-398_NG_049687.1_blaOXA-23-like_(beta-lactam)	blaOXA-66_NG_049806.1_blaOXA-51-like_(beta-lactam)	blaOXA-834_NG_065444.1_blaOXA-51-like_(beta-lactam)	blaOXA-95_NG_049836.1_blaOXA-51-like_(beta-lactam)	blaTEM-1D_1_AF188200_(beta-lactam)	catB8_NG_047616.1_(phenicol)	cxpE_CP008706.1_(phenicol)	mph(E)_NG_064660.1_(macrolide)	msr(E)_NG_048007.1_(macrolide-streptogramin)	qacEdelta1_NG_048042.1_(quaternary)	strA_AB366441_(aminoglycoside)	sul1_NG_048082.1_(sulfonamide)	sul2_NG_051852.1_(sulfonamide)	tet(B)_NG_048161.1_(tetracycline)	HV_Database	No_HVGs_Found	Plasmid_Replicon_Database	No_Plasmid_Markers
2025LY00031R	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				97.24	93.3	1615798.0	1492728.0	1537142.0	87.66	38.91	69.0	4031531.0	1.0116	0.1817	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.43) baumannii (34.16).	Acinetobacter (99.97) baumannii (99.68).	Acinetobacter baumannii	99.9	96.56	Acinetobacter_baumannii_GCF_042140485.1_Hv635.fna.gz	abaumannii(Oxford)	assembly	ST345	gltA(46).gyrB(12).gdhB(110).recA(1).cpn60(16).gpi(141).rpoD(50)	abaumannii(Pasteur)	assembly	ST2139	cpn60(5).fusA(2).gltA(39).pyrG(2).recA(3).rplB(1).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)			[98NT/99AA/100:#8]G					[96NT/99AA/100:#15]G		[98NT/99AA/100:#1]G		[98NT/98AA/100:#9]G	[100NT/100AA/100:#13]G		[100NT/100AA/100:#1]G						[100NT/100AA/100:#34]G				[100NT/100AA/100:#2]G			[99NT/100AA/100:#8]G				[100NT/100AA/100:#13]G			[99NT/99AA/100:#13]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00033	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.94	93.57	1202208.0	1113392.0	1144688.0	67.74	39.0	62.0	3924804.0	0.9848	0.2376	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.84) baumannii (8.2).	Acinetobacter (99.8) baumannii (99.08).	Acinetobacter baumannii	99.86	95.62	Acinetobacter_baumannii_GCF_052540645.1_ASM5254064v1.fna.gz	abaumannii(Oxford)	assembly	Novel_profile	gltA(1).gyrB(3).gdhB(58).recA(1).cpn60(2).gpi(140).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_profile	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(3).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#4]G		[98NT/99AA/100:#3]G			[100NT/100AA/100:#47]G	[100NT/100AA/100:#47]G	[97NT/100AA/100:#11]G	[100NT/100AA/100:#21]G	[97NT/98AA/100:#26]G		[98NT/98AA/100:#8]G	[100NT/100AA/100:#23]G				[100NT/100AA/100:#12]G			[100NT/100AA/100:#49]G			[100NT/100AA/100:#4]G				[100NT/100AA/100:#47]G	[99NT/100AA/100:#33]G	[100NT/100AA/100:#48]G	[100NT/100AA/100:#48]G		[100NT/100AA/100:#23]G			[99NT/99AA/100:#23]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00034	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads		96.91	91.85	1058394.0	958360.0	995318.0	57.13	38.99	83.0	4047801.0	1.0157	0.2456	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.52) baumannii (7.98).	Acinetobacter (99.56) baumannii (98.81).	Acinetobacter baumannii	99.95	94.79	Acinetobacter_baumannii_GCF_003948535.2_ASM394853v2.fna.gz	abaumannii(Oxford)	assembly	1962-PARALOG	gltA(1).gyrB(3).gdhB(189).recA(2).cpn60(2).gpi(140).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#2]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#51]G			[97NT/100AA/100:#41]G	[100NT/100AA/100:#14]G	[97NT/98AA/100:#6]G	[100NT/100AA/100:#63]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#27]G	[100NT/100AA/100:#15]G		[100NT/100AA/100:#21]G				[100NT/100AA/100:#54]G				[100NT/100AA/100:#19]G				[99NT/100AA/100:#4]G	[100NT/100AA/100:#15]G	[100NT/100AA/100:#15]G		[100NT/100AA/100:#27]G		[100NT/100AA/100:#65]G	[99NT/99AA/100:#56]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00035	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.77	92.88	1114768.0	1026174.0	1057682.0	61.08	39.05	90.0	4037951.0	1.0132	0.2069	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.42) baumannii (10.42).	Acinetobacter (99.95) baumannii (98.88).	Acinetobacter baumannii	99.97	95.94	Acinetobacter_baumannii_GCF_042140525.1_Hv652.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#5]G		[98NT/99AA/100:#1]G	[100NT/100AA/100:#57]G	[100NT/100AA/100:#4]G			[97NT/100AA/100:#12]G	[100NT/100AA/100:#23]G	[97NT/98AA/100:#13]G			[100NT/100AA/100:#16]G				[100NT/100AA/100:#1]G			[100NT/100AA/100:#19]G			[100NT/100AA/100:#4]G					[99NT/100AA/100:#1]G			[100NT/100AA/100:#57]G	[100NT/100AA/100:#16]G	[100NT/100AA/100:#57]G		[99NT/99AA/100:#16]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00036	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		97.13	88.27	968208.0	830844.0	886981.0	51.47	39.06	72.0	3973778.0	0.9971	0.0452	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.57) baumannii (8.44).	Acinetobacter (99.56) baumannii (98.8).	Acinetobacter baumannii	99.95	95.58	Acinetobacter_baumannii_GCF_028622915.1_ASM2862291v1.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#4]G		[98NT/99AA/100:#8]G		[100NT/100AA/100:#54]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#22]G	[100NT/100AA/100:#67]G	[98NT/98AA/100:#9]G	[100NT/100AA/100:#25]G	[100NT/100AA/100:#39]G				[100NT/100AA/100:#18]G				[100NT/100AA/100:#56]G	[100NT/100AA/100:#1]G			[100NT/100AA/100:#57]G		[99NT/100AA/100:#8]G	[100NT/100AA/100:#39]G	[100NT/100AA/100:#39]G		[100NT/100AA/100:#25]G		[100NT/100AA/100:#58]G	[99NT/99AA/100:#52]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00037	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.52	92.7	1124626.0	1035764.0	1067398.0	62.45	39.05	76.0	3967007.0	0.9954	0.0718	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.52) baumannii (8.58).	Acinetobacter (99.49) baumannii (98.06).	Acinetobacter baumannii	99.98	96.97	Acinetobacter_baumannii_GCF_030704325.1_ASM3070432v1.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#22]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#55]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#18]G	[100NT/100AA/100:#70]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#45]G	[100NT/100AA/100:#5]G				[100NT/100AA/100:#17]G		[100NT/100AA/100:#57]G			[100NT/100AA/100:#1]G			[100NT/100AA/100:#59]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#5]G	[100NT/100AA/100:#5]G		[100NT/100AA/100:#45]G		[100NT/100AA/100:#60]G	[99NT/99AA/100:#52]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00038	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads		96.61	93.83	1040464.0	976376.0	998961.0	59.13	39.05	71.0	3920989.0	0.9839	0.2526	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.86) baumannii (8.12).	Acinetobacter (99.49) baumannii (97.93).	Acinetobacter baumannii	99.98	96.94	Acinetobacter_baumannii_GCF_027992645.1_ASM2799264v4.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#24]G		[98NT/99AA/100:#3]G		[100NT/100AA/100:#53]G			[97NT/100AA/100:#8]G		[97NT/98AA/100:#20]G	[100NT/100AA/100:#65]G	[98NT/98AA/100:#7]G	[100NT/100AA/100:#45]G	[100NT/100AA/100:#4]G				[100NT/100AA/100:#18]G		[100NT/100AA/100:#55]G			[100NT/100AA/100:#19]G			[100NT/100AA/100:#56]G		[99NT/100AA/100:#3]G	[100NT/100AA/100:#4]G	[100NT/100AA/100:#4]G		[100NT/100AA/100:#45]G		[100NT/100AA/100:#57]G	[99NT/99AA/100:#51]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00039	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				97.36	95.61	1723890.0	1639978.0	1668666.0	96.99	39.1	94.0	3951064.0	0.9914	0.1345	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.95) baumannii (7.87).	Acinetobacter (99.56) baumannii (97.49).	Acinetobacter baumannii	99.93	96.7	Acinetobacter_baumannii_GCF_003949595.2_ASM394959v2.fna.gz	abaumannii(Oxford)	assembly	1962-PARALOG	gltA(1).gyrB(3).gdhB(189).recA(2).cpn60(2).gpi(140).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#3]G		[98NT/99AA/100:#10]G		[100NT/100AA/100:#58]G			[97NT/100AA/100:#40]G	[100NT/100AA/100:#21]G	[97NT/98AA/100:#8]G	[100NT/100AA/100:#68]G	[98NT/98AA/100:#7]G	[100NT/100AA/100:#26]G			[100NT/100AA/100:#17]G			[100NT/100AA/100:#63]G					[100NT/100AA/100:#4]G				[99NT/100AA/100:#10]G				[100NT/100AA/100:#26]G		[100NT/100AA/100:#69]G	[99NT/99AA/100:#53]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00040	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		97.09	92.44	900556.0	822594.0	850909.0	50.07	39.06	79.0	3927781.0	0.9856	0.2259	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.8) baumannii (7.82).	Acinetobacter (99.49) baumannii (98.1).	Acinetobacter baumannii	99.97	97.1	Acinetobacter_baumannii_GCF_042152975.1_Up367.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#4]G		[98NT/99AA/100:#5]G		[100NT/100AA/100:#57]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#29]G	[100NT/100AA/100:#73]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#23]G					[100NT/100AA/100:#19]G		[100NT/100AA/100:#58]G			[100NT/100AA/100:#1]G			[100NT/100AA/100:#60]G		[99NT/100AA/100:#5]G				[100NT/100AA/100:#23]G		[100NT/100AA/100:#62]G	[99NT/99AA/100:#53]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00041	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.89	91.68	1237188.0	1113784.0	1159858.0	67.31	39.05	96.0	3984269.0	0.9997	0.004	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.61) baumannii (7.84).	Acinetobacter (99.36) baumannii (97.33).	Acinetobacter baumannii	99.94	96.96	Acinetobacter_baumannii_GCF_030704325.1_ASM3070432v1.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#22]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#65]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#28]G	[100NT/100AA/100:#81]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#44]G	[100NT/100AA/100:#5]G				[100NT/100AA/100:#61]G		[100NT/100AA/100:#68]G			[100NT/100AA/100:#1]G			[100NT/100AA/100:#72]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#5]G	[100NT/100AA/100:#5]G		[100NT/100AA/100:#44]G		[100NT/100AA/100:#73]G	[99NT/99AA/100:#59]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
